image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,image_2.started,text_4.started,button.started,button.numClicks,button.timesOn,button.timesOff,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,8.456479499989655,10.457139599995571,10.457139599995571,10.457139599995571,space,0.962467099991045,,,,,,,,,039328,001,2023-02-21_11h11.54.128,SEAL_LandmarkPoint,2022.2.5,59.88124351982329,
PointingImages/Landmark12_statue.jpeg,0,0,0,0,,,,,,,11.832820199997514,11.832820199997514,11.832820199997514,1,[3.5874227000022074],[3.5874521999940043],,,039328,001,2023-02-21_11h11.54.128,SEAL_LandmarkPoint,2022.2.5,59.88124351982329,
PointingImages/Landmark11_painting.jpeg,0,1,1,1,,,,,,,15.870818699986557,15.870818699986557,15.870818699986557,2,"[3.5874227000022074, 0.734445299996878]","[3.5874521999940043, 0.7344543999934103]",,,039328,001,2023-02-21_11h11.54.128,SEAL_LandmarkPoint,2022.2.5,59.88124351982329,
PointingImages/Landmark7_painting.jpeg,0,2,2,2,,,,,,,16.813053499994567,16.813053499994567,16.813053499994567,3,"[3.5874227000022074, 0.734445299996878, 0.5336883999989368]","[3.5874521999940043, 0.04741020000074059, 0.5336974999954691]",,,039328,001,2023-02-21_11h11.54.128,SEAL_LandmarkPoint,2022.2.5,59.88124351982329,
PointingImages/Landmark8_painting.jpeg,0,3,3,3,,,,,,,17.782468099991092,17.782468099991092,17.782468099991092,4,"[3.5874227000022074, 0.734445299996878, 0.5336883999989368, 0.9159235999977682]","[3.5874521999940043, 0.04741020000074059, 0.0009334999922430143, 0.9159404999954859]",,,039328,001,2023-02-21_11h11.54.128,SEAL_LandmarkPoint,2022.2.5,59.88124351982329,
PointingImages/Landmark9_painting.jpeg,0,4,4,4,,,,,,,19.049922699996387,19.049922699996387,19.049922699996387,5,"[3.5874227000022074, 0.734445299996878, 0.5336883999989368, 0.9159235999977682, 5.549364499995136]","[3.5874521999940043, 0.04741020000074059, 0.0009334999922430143, 0.0007824999920558184, 5.549371199987945]",,,039328,001,2023-02-21_11h11.54.128,SEAL_LandmarkPoint,2022.2.5,59.88124351982329,
PointingImages/Landmark10_statue.jpeg,0,5,5,5,,,,,,,24.807559499997296,24.807559499997296,24.807559499997296,6,"[3.5874227000022074, 0.734445299996878, 0.5336883999989368, 0.9159235999977682, 5.549364499995136, 0.45372560000396334]","[3.5874521999940043, 0.04741020000074059, 0.0009334999922430143, 0.0007824999920558184, 0.05064090000814758, 0.45374110000557266]",,,039328,001,2023-02-21_11h11.54.128,SEAL_LandmarkPoint,2022.2.5,59.88124351982329,
PointingImages/Landmark3_WaterFountain.jpeg,0,6,6,6,,,,,,,25.662417399988044,25.662417399988044,25.662417399988044,7,"[3.5874227000022074, 0.734445299996878, 0.5336883999989368, 0.9159235999977682, 5.549364499995136, 0.45372560000396334, 0.3718570000055479]","[3.5874521999940043, 0.04741020000074059, 0.0009334999922430143, 0.0007824999920558184, 0.05064090000814758, 0.1383399000042118, 0.37186020000081044]",,,039328,001,2023-02-21_11h11.54.128,SEAL_LandmarkPoint,2022.2.5,59.88124351982329,
PointingImages/Landmark6_map.jpeg,0,7,7,7,,,,,,,26.525230999992345,26.525230999992345,26.525230999992345,8,"[3.5874227000022074, 0.734445299996878, 0.5336883999989368, 0.9159235999977682, 5.549364499995136, 0.45372560000396334, 0.3718570000055479, 0.15726480000012089]","[3.5874521999940043, 0.04741020000074059, 0.0009334999922430143, 0.0007824999920558184, 0.05064090000814758, 0.1383399000042118, 0.0011614000104600564, 0.15726859999995213]",,,039328,001,2023-02-21_11h11.54.128,SEAL_LandmarkPoint,2022.2.5,59.88124351982329,
PointingImages/Landmark1_book.jpeg,0,8,8,8,,,,,,,26.895711599994684,26.895711599994684,26.895711599994684,9,"[3.5874227000022074, 0.734445299996878, 0.5336883999989368, 0.9159235999977682, 5.549364499995136, 0.45372560000396334, 0.3718570000055479, 0.15726480000012089, 0.028304799998295493]","[3.5874521999940043, 0.04741020000074059, 0.0009334999922430143, 0.0007824999920558184, 0.05064090000814758, 0.1383399000042118, 0.0011614000104600564, 0.15726859999995213, 0.028310199995758012]",,,039328,001,2023-02-21_11h11.54.128,SEAL_LandmarkPoint,2022.2.5,59.88124351982329,
PointingImages/Landmark4_vase.jpeg,0,9,9,9,,,,,,,27.33687149999605,27.33687149999605,27.33687149999605,10,"[3.5874227000022074, 0.734445299996878, 0.5336883999989368, 0.9159235999977682, 5.549364499995136, 0.45372560000396334, 0.3718570000055479, 0.15726480000012089, 0.028304799998295493, 0.12381759998970665]","[3.5874521999940043, 0.04741020000074059, 0.0009334999922430143, 0.0007824999920558184, 0.05064090000814758, 0.1383399000042118, 0.0011614000104600564, 0.15726859999995213, 0.028310199995758012, 0.1238215999910608]",,,039328,001,2023-02-21_11h11.54.128,SEAL_LandmarkPoint,2022.2.5,59.88124351982329,
PointingImages/Landmark2_painting.jpeg,0,10,10,10,,,,,,,27.686377999998513,27.686377999998513,27.686377999998513,11,"[3.5874227000022074, 0.734445299996878, 0.5336883999989368, 0.9159235999977682, 5.549364499995136, 0.45372560000396334, 0.3718570000055479, 0.15726480000012089, 0.028304799998295493, 0.12381759998970665, 0.013490400000591762]","[3.5874521999940043, 0.04741020000074059, 0.0009334999922430143, 0.0007824999920558184, 0.05064090000814758, 0.1383399000042118, 0.0011614000104600564, 0.15726859999995213, 0.028310199995758012, 0.1238215999910608, 0.013495699997292832]",,,039328,001,2023-02-21_11h11.54.128,SEAL_LandmarkPoint,2022.2.5,59.88124351982329,
PointingImages/Landmark5_painting.jpeg,0,11,11,11,,,,,,,28.055799199995818,28.055799199995818,28.055799199995818,12,"[3.5874227000022074, 0.734445299996878, 0.5336883999989368, 0.9159235999977682, 5.549364499995136, 0.45372560000396334, 0.3718570000055479, 0.15726480000012089, 0.028304799998295493, 0.12381759998970665, 0.013490400000591762, 0.19559170000138693]","[3.5874521999940043, 0.04741020000074059, 0.0009334999922430143, 0.0007824999920558184, 0.05064090000814758, 0.1383399000042118, 0.0011614000104600564, 0.15726859999995213, 0.028310199995758012, 0.1238215999910608, 0.07839950000925455, 0.19559509999817237]",,,039328,001,2023-02-21_11h11.54.128,SEAL_LandmarkPoint,2022.2.5,59.88124351982329,
,,,,,,,,,,,,,,,,,28.25446139999258,30.255549099994823,,,,,,,
