imageU,imageL,ShowLower_trials.thisRepN,ShowLower_trials.thisTrialN,ShowLower_trials.thisN,ShowLower_trials.thisIndex,ShowUpper_trials.thisRepN,ShowUpper_trials.thisTrialN,ShowUpper_trials.thisN,ShowUpper_trials.thisIndex,Uppertrials.thisRepN,Uppertrials.thisTrialN,Uppertrials.thisN,Uppertrials.thisIndex,text.started,text_2.started,LowerBox.started,UpperBox.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,image_3.started,text_5.started,button_2.started,button_2.numClicks,button_2.timesOn,button_2.timesOff,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,17.225901470985264,19.25747347099241,19.25747347099241,19.25747347099241,0.009042702993610874,[0.20095238095238097],[-0.37142857142857144],[1],[0],[0],[7.330429753987119],['UpperBox'],,,,,,,,131271,001,2023-03-14_13h04.59.706,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark12_statue.jpeg,PointingImages/Landmark3_waterfountain.jpeg,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,27.145626373996492,27.145626373996492,27.145626373996492,1,[20.365315447998],[20.365324326005066],,131271,001,2023-03-14_13h04.59.706,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark11_painting.jpeg,PointingImages/Landmark6_map.jpeg,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,48.083424109005136,48.083424109005136,48.083424109005136,2,"[20.365315447998, 1.788317783997627]","[20.365324326005066, 1.788321371015627]",,131271,001,2023-03-14_13h04.59.706,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark7_painting.jpeg,PointingImages/Landmark1_book.jpeg,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,50.29355395497987,50.29355395497987,50.29355395497987,3,"[20.365315447998, 1.788317783997627, 4.467883447010536]","[20.365324326005066, 1.788321371015627, 4.46788882400142]",,131271,001,2023-03-14_13h04.59.706,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark8_painting.jpeg,PointingImages/Landmark4_vase.jpeg,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,55.21749373100465,55.21749373100465,55.21749373100465,4,"[20.365315447998, 1.788317783997627, 4.467883447010536, 1.647134090977488]","[20.365324326005066, 1.788321371015627, 4.46788882400142, 1.6471372959786095]",,131271,001,2023-03-14_13h04.59.706,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark9_painting.jpeg,PointingImages/Landmark2_painting.jpeg,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,57.272342226002365,57.272342226002365,57.272342226002365,5,"[20.365315447998, 1.788317783997627, 4.467883447010536, 1.647134090977488, 2.332910842000274]","[20.365324326005066, 1.788321371015627, 4.46788882400142, 1.6471372959786095, 2.3329146449977998]",,131271,001,2023-03-14_13h04.59.706,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark10_statue.jpeg,PointingImages/Landmark5_painting.jpeg,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,59.93911266699433,59.93911266699433,59.93911266699433,6,"[20.365315447998, 1.788317783997627, 4.467883447010536, 1.647134090977488, 2.332910842000274, 1.739737171010347]","[20.365324326005066, 1.788321371015627, 4.46788882400142, 1.6471372959786095, 2.3329146449977998, 1.7397418869950343]",,131271,001,2023-03-14_13h04.59.706,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark3_waterfountain.jpeg,PointingImages/Landmark12_statue.jpeg,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,62.03259051797795,62.03259051797795,62.03259051797795,7,"[20.365315447998, 1.788317783997627, 4.467883447010536, 1.647134090977488, 2.332910842000274, 1.739737171010347, 9.175297016015975]","[20.365324326005066, 1.788321371015627, 4.46788882400142, 1.6471372959786095, 2.3329146449977998, 1.7397418869950343, 9.175306759017985]",,131271,001,2023-03-14_13h04.59.706,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark6_map.jpeg,PointingImages/Landmark11_painting.jpeg,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,71.70692423198489,71.70692423198489,71.70692423198489,8,"[20.365315447998, 1.788317783997627, 4.467883447010536, 1.647134090977488, 2.332910842000274, 1.739737171010347, 9.175297016015975, 14.454035097995074]","[20.365324326005066, 1.788321371015627, 4.46788882400142, 1.6471372959786095, 2.3329146449977998, 1.7397418869950343, 9.175306759017985, 14.45404006697936]",,131271,001,2023-03-14_13h04.59.706,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark1_book.jpeg,PointingImages/Landmark7_painting.jpeg,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,86.54428913400625,86.54428913400625,86.54428913400625,9,"[20.365315447998, 1.788317783997627, 4.467883447010536, 1.647134090977488, 2.332910842000274, 1.739737171010347, 9.175297016015975, 14.454035097995074, 0.9930971820140257]","[20.365324326005066, 1.788321371015627, 4.46788882400142, 1.6471372959786095, 2.3329146449977998, 1.7397418869950343, 9.175306759017985, 14.45404006697936, 0.9931009620195255]",,131271,001,2023-03-14_13h04.59.706,SEAL_LandmarkPoint,2022.2.4,None,
