imageU,imageL,ShowLower_trials.thisRepN,ShowLower_trials.thisTrialN,ShowLower_trials.thisN,ShowLower_trials.thisIndex,Lowertrials.thisRepN,Lowertrials.thisTrialN,Lowertrials.thisN,Lowertrials.thisIndex,ShowUpper_trials.thisRepN,ShowUpper_trials.thisTrialN,ShowUpper_trials.thisN,ShowUpper_trials.thisIndex,text.started,text_2.started,LowerBox.started,UpperBox.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,image_2.started,text_4.started,button.started,button.numClicks,button.timesOn,button.timesOff,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,18.765224250993924,20.795227911003167,20.795227911003167,20.795227911003167,0.015610070986440405,[-0.13523809523809524],[-0.39904761904761904],[1],[0],[0],[6.042918874998577],['LowerBox'],,,,,,,,429118,001,2023-03-14_13h02.51.172,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark12_statue.jpeg,PointingImages/Landmark3_waterfountain.jpeg,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,27.551322515006177,27.551322515006177,27.551322515006177,1,[5.03342043198063],[5.033424667984946],,429118,001,2023-03-14_13h02.51.172,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark11_painting.jpeg,PointingImages/Landmark6_map.jpeg,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,32.97257891501067,32.97257891501067,32.97257891501067,2,"[5.03342043198063, 0.9734912629937753]","[5.033424667984946, 0.973500916006742]",,429118,001,2023-03-14_13h02.51.172,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark7_painting.jpeg,PointingImages/Landmark1_book.jpeg,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,34.30270957000903,34.30270957000903,34.30270957000903,3,"[5.03342043198063, 0.9734912629937753, 0.8090485669963527]","[5.033424667984946, 0.973500916006742, 0.8090527379827108]",,429118,001,2023-03-14_13h02.51.172,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark8_painting.jpeg,PointingImages/Landmark4_vase.jpeg,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,35.491612154990435,35.491612154990435,35.491612154990435,4,"[5.03342043198063, 0.9734912629937753, 0.8090485669963527, 0.5517735420144163]","[5.033424667984946, 0.973500916006742, 0.8090527379827108, 0.5517778060166165]",,429118,001,2023-03-14_13h02.51.172,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark9_painting.jpeg,PointingImages/Landmark2_painting.jpeg,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,36.42706695999368,36.42706695999368,36.42706695999368,5,"[5.03342043198063, 0.9734912629937753, 0.8090485669963527, 0.5517735420144163, 0.5016688339819666]","[5.033424667984946, 0.973500916006742, 0.8090527379827108, 0.5517778060166165, 0.5016734499949962]",,429118,001,2023-03-14_13h02.51.172,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark10_statue.jpeg,PointingImages/Landmark5_painting.jpeg,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,37.306000302982284,37.306000302982284,37.306000302982284,6,"[5.03342043198063, 0.9734912629937753, 0.8090485669963527, 0.5517735420144163, 0.5016688339819666, 0.42011763600748964]","[5.033424667984946, 0.973500916006742, 0.8090527379827108, 0.5517778060166165, 0.5016734499949962, 0.4201373959949706]",,429118,001,2023-03-14_13h02.51.172,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark3_waterfountain.jpeg,PointingImages/Landmark12_statue.jpeg,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,38.133683025982464,38.133683025982464,38.133683025982464,7,"[5.03342043198063, 0.9734912629937753, 0.8090485669963527, 0.5517735420144163, 0.5016688339819666, 0.42011763600748964, 0.44081552998977713]","[5.033424667984946, 0.973500916006742, 0.8090527379827108, 0.5517778060166165, 0.5016734499949962, 0.4201373959949706, 0.4408370890014339]",,429118,001,2023-03-14_13h02.51.172,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark6_map.jpeg,PointingImages/Landmark11_painting.jpeg,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,39.00315228800173,39.00315228800173,39.00315228800173,8,"[5.03342043198063, 0.9734912629937753, 0.8090485669963527, 0.5517735420144163, 0.5016688339819666, 0.42011763600748964, 0.44081552998977713, 0.45743681001476943]","[5.033424667984946, 0.973500916006742, 0.8090527379827108, 0.5517778060166165, 0.5016734499949962, 0.4201373959949706, 0.4408370890014339, 0.45746103100827895]",,429118,001,2023-03-14_13h02.51.172,SEAL_LandmarkPoint,2022.2.4,None,
PointingImages/Landmark1_book.jpeg,PointingImages/Landmark7_painting.jpeg,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,39.857077822001884,39.857077822001884,39.857077822001884,9,"[5.03342043198063, 0.9734912629937753, 0.8090485669963527, 0.5517735420144163, 0.5016688339819666, 0.42011763600748964, 0.44081552998977713, 0.45743681001476943, 0.5441401850257535]","[5.033424667984946, 0.973500916006742, 0.8090527379827108, 0.5517778060166165, 0.5016734499949962, 0.4201373959949706, 0.4408370890014339, 0.45746103100827895, 0.5441577620222233]",,429118,001,2023-03-14_13h02.51.172,SEAL_LandmarkPoint,2022.2.4,None,
