image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text_2.started,button_2.started,button_2.numClicks,button_2.timesOn,button_2.timesOff,image_2.started,text_4.started,button.started,button.numClicks,button.timesOn,button.timesOff,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
PointingImages/Landmark12_statue.jpeg,0,0,0,0,7.8788713999674655,9.887982599961106,9.887982599961106,1,[5.834348600008525],[5.834357400017325],16.280602099956013,16.280602099956013,16.280602099956013,1,[5.6387516999966465],[5.638756099971943],,,684965,001,2023-02-23_15h20.51.417,SEAL_LandmarkPoint,2022.2.5,59.85658362759633,
PointingImages/Landmark11_painting.jpeg,0,1,1,1,,,,,,,22.384892000001855,22.384892000001855,22.384892000001855,2,"[5.6387516999966465, 0.5849713000352494]","[5.638756099971943, 0.5849756000097841]",,,684965,001,2023-02-23_15h20.51.417,SEAL_LandmarkPoint,2022.2.5,59.85658362759633,
PointingImages/Landmark7_painting.jpeg,0,2,2,2,,,,,,,23.505963199946564,23.505963199946564,23.505963199946564,3,"[5.6387516999966465, 0.5849713000352494, 0.4228813999798149]","[5.638756099971943, 0.5849756000097841, 0.4228871999657713]",,,684965,001,2023-02-23_15h20.51.417,SEAL_LandmarkPoint,2022.2.5,59.85658362759633,
PointingImages/Landmark8_painting.jpeg,0,3,3,3,,,,,,,24.526543399959337,24.526543399959337,24.526543399959337,4,"[5.6387516999966465, 0.5849713000352494, 0.4228813999798149, 0.5238594000111334]","[5.638756099971943, 0.5849756000097841, 0.4228871999657713, 0.5238692999701016]",,,684965,001,2023-02-23_15h20.51.417,SEAL_LandmarkPoint,2022.2.5,59.85658362759633,
PointingImages/Landmark9_painting.jpeg,0,4,4,4,,,,,,,25.440610799996648,25.440610799996648,25.440610799996648,5,"[5.6387516999966465, 0.5849713000352494, 0.4228813999798149, 0.5238594000111334, 0.5555681000114419]","[5.638756099971943, 0.5849756000097841, 0.4228871999657713, 0.0013427000376395881, 0.555573700054083]",,,684965,001,2023-02-23_15h20.51.417,SEAL_LandmarkPoint,2022.2.5,59.85658362759633,
PointingImages/Landmark10_statue.jpeg,0,5,5,5,,,,,,,26.242521499982104,26.242521499982104,26.242521499982104,6,"[5.6387516999966465, 0.5849713000352494, 0.4228813999798149, 0.5238594000111334, 0.5555681000114419, 0.7362238999921829]","[5.638756099971943, 0.5849756000097841, 0.4228871999657713, 0.0013427000376395881, 0.05295720003778115, 0.7362319999956526]",,,684965,001,2023-02-23_15h20.51.417,SEAL_LandmarkPoint,2022.2.5,59.85658362759633,
PointingImages/Landmark3_WaterFountain.jpeg,0,6,6,6,,,,,,,27.321626399992965,27.321626399992965,27.321626399992965,7,"[5.6387516999966465, 0.5849713000352494, 0.4228813999798149, 0.5238594000111334, 0.5555681000114419, 0.7362238999921829, 0.88840870000422]","[5.638756099971943, 0.5849756000097841, 0.4228871999657713, 0.0013427000376395881, 0.05295720003778115, 0.028376500005833805, 0.8884148999932222]",,,684965,001,2023-02-23_15h20.51.417,SEAL_LandmarkPoint,2022.2.5,59.85658362759633,
PointingImages/Landmark6_map.jpeg,0,7,7,7,,,,,,,28.78706029994646,28.78706029994646,28.78706029994646,8,"[5.6387516999966465, 0.5849713000352494, 0.4228813999798149, 0.5238594000111334, 0.5555681000114419, 0.7362238999921829, 0.88840870000422, 0.7254324999521486]","[5.638756099971943, 0.5849756000097841, 0.4228871999657713, 0.0013427000376395881, 0.05295720003778115, 0.028376500005833805, 0.8884148999932222, 0.7254383999970742]",,,684965,001,2023-02-23_15h20.51.417,SEAL_LandmarkPoint,2022.2.5,59.85658362759633,
PointingImages/Landmark1_book.jpeg,0,8,8,8,,,,,,,29.74494720000075,29.74494720000075,29.74494720000075,9,"[5.6387516999966465, 0.5849713000352494, 0.4228813999798149, 0.5238594000111334, 0.5555681000114419, 0.7362238999921829, 0.88840870000422, 0.7254324999521486, 0.5563075999962166]","[5.638756099971943, 0.5849756000097841, 0.4228871999657713, 0.0013427000376395881, 0.05295720003778115, 0.028376500005833805, 0.8884148999932222, 0.7254383999970742, 0.556314600049518]",,,684965,001,2023-02-23_15h20.51.417,SEAL_LandmarkPoint,2022.2.5,59.85658362759633,
PointingImages/Landmark4_vase.jpeg,0,9,9,9,,,,,,,30.81515619996935,30.81515619996935,30.81515619996935,10,"[5.6387516999966465, 0.5849713000352494, 0.4228813999798149, 0.5238594000111334, 0.5555681000114419, 0.7362238999921829, 0.88840870000422, 0.7254324999521486, 0.5563075999962166, 7.3765814999933355]","[5.638756099971943, 0.5849756000097841, 0.4228871999657713, 0.0013427000376395881, 0.05295720003778115, 0.028376500005833805, 0.8884148999932222, 0.7254383999970742, 0.556314600049518, 7.37658800004283]",,,684965,001,2023-02-23_15h20.51.417,SEAL_LandmarkPoint,2022.2.5,59.85658362759633,
PointingImages/Landmark2_painting.jpeg,0,10,10,10,,,,,,,38.44172329996945,38.44172329996945,38.44172329996945,11,"[5.6387516999966465, 0.5849713000352494, 0.4228813999798149, 0.5238594000111334, 0.5555681000114419, 0.7362238999921829, 0.88840870000422, 0.7254324999521486, 0.5563075999962166, 7.3765814999933355, 0.5678501999936998]","[5.638756099971943, 0.5849756000097841, 0.4228871999657713, 0.0013427000376395881, 0.05295720003778115, 0.028376500005833805, 0.8884148999932222, 0.7254383999970742, 0.556314600049518, 0.0008852999890223145, 0.5678577999933623]",,,684965,001,2023-02-23_15h20.51.417,SEAL_LandmarkPoint,2022.2.5,59.85658362759633,
