image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,image_2.started,text_4.started,button.started,button.numClicks,button.timesOn,button.timesOff,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,7.944683499998064,9.95223999999871,9.95223999999871,space,0.7007431999954861,,,,,,,,857250,001,2023-02-21_11h07.22.514,SEAL_LandmarkPoint,2022.2.5,59.98764254756231,
PointingImages/Landmark12_statue.jpeg,0,0,0,0,,,,,,11.695285400011926,11.695285400011926,11.695285400011926,1,[7.2707302999915555],[7.270738199993502],,857250,001,2023-02-21_11h07.22.514,SEAL_LandmarkPoint,2022.2.5,59.98764254756231,
PointingImages/Landmark11_painting.jpeg,0,1,1,1,,,,,,19.56894199999806,19.56894199999806,19.56894199999806,2,"[7.2707302999915555, 2.4765384000056656]","[7.270738199993502, 2.476545800003805]",,857250,001,2023-02-21_11h07.22.514,SEAL_LandmarkPoint,2022.2.5,59.98764254756231,
PointingImages/Landmark7_painting.jpeg,0,2,2,2,,,,,,22.12479100000928,22.12479100000928,22.12479100000928,3,"[7.2707302999915555, 2.4765384000056656, 0.9803739000053611]","[7.270738199993502, 2.476545800003805, 0.9803837999934331]",,857250,001,2023-02-21_11h07.22.514,SEAL_LandmarkPoint,2022.2.5,59.98764254756231,
PointingImages/Landmark8_painting.jpeg,0,3,3,3,,,,,,23.74382550000155,23.74382550000155,23.74382550000155,4,"[7.2707302999915555, 2.4765384000056656, 0.9803739000053611, 3.055679900004179]","[7.270738199993502, 2.476545800003805, 0.9803837999934331, 3.05569110000215]",,857250,001,2023-02-21_11h07.22.514,SEAL_LandmarkPoint,2022.2.5,59.98764254756231,
PointingImages/Landmark9_painting.jpeg,0,4,4,4,,,,,,27.4129721000063,27.4129721000063,27.4129721000063,5,"[7.2707302999915555, 2.4765384000056656, 0.9803739000053611, 3.055679900004179, 1.1630182999942917]","[7.270738199993502, 2.476545800003805, 0.9803837999934331, 3.05569110000215, 1.1630290000030072]",,857250,001,2023-02-21_11h07.22.514,SEAL_LandmarkPoint,2022.2.5,59.98764254756231,
PointingImages/Landmark10_statue.jpeg,0,5,5,5,,,,,,28.81055660000129,28.81055660000129,28.81055660000129,6,"[7.2707302999915555, 2.4765384000056656, 0.9803739000053611, 3.055679900004179, 1.1630182999942917, 0.936897500010673]","[7.270738199993502, 2.476545800003805, 0.9803837999934331, 3.05569110000215, 1.1630290000030072, 0.9369059000018751]",,857250,001,2023-02-21_11h07.22.514,SEAL_LandmarkPoint,2022.2.5,59.98764254756231,
PointingImages/Landmark3_WaterFountain.jpeg,0,6,6,6,,,,,,30.109904700002517,30.109904700002517,30.109904700002517,7,"[7.2707302999915555, 2.4765384000056656, 0.9803739000053611, 3.055679900004179, 1.1630182999942917, 0.936897500010673, 0.8352070999972057]","[7.270738199993502, 2.476545800003805, 0.9803837999934331, 3.05569110000215, 1.1630290000030072, 0.9369059000018751, 0.8352152999868849]",,857250,001,2023-02-21_11h07.22.514,SEAL_LandmarkPoint,2022.2.5,59.98764254756231,
PointingImages/Landmark6_map.jpeg,0,7,7,7,,,,,,31.774476400009007,31.774476400009007,31.774476400009007,8,"[7.2707302999915555, 2.4765384000056656, 0.9803739000053611, 3.055679900004179, 1.1630182999942917, 0.936897500010673, 0.8352070999972057, 0.5868367000075523]","[7.270738199993502, 2.476545800003805, 0.9803837999934331, 3.05569110000215, 1.1630290000030072, 0.9369059000018751, 0.8352152999868849, 0.5868455000018002]",,857250,001,2023-02-21_11h07.22.514,SEAL_LandmarkPoint,2022.2.5,59.98764254756231,
PointingImages/Landmark1_book.jpeg,0,8,8,8,,,,,,32.6962085999985,32.6962085999985,32.6962085999985,9,"[7.2707302999915555, 2.4765384000056656, 0.9803739000053611, 3.055679900004179, 1.1630182999942917, 0.936897500010673, 0.8352070999972057, 0.5868367000075523, 0.7902367999922717]","[7.270738199993502, 2.476545800003805, 0.9803837999934331, 3.05569110000215, 1.1630290000030072, 0.9369059000018751, 0.8352152999868849, 0.5868455000018002, 0.7902459000033559]",,857250,001,2023-02-21_11h07.22.514,SEAL_LandmarkPoint,2022.2.5,59.98764254756231,
PointingImages/Landmark4_vase.jpeg,0,9,9,9,,,,,,34.300543000004836,34.300543000004836,34.300543000004836,10,"[7.2707302999915555, 2.4765384000056656, 0.9803739000053611, 3.055679900004179, 1.1630182999942917, 0.936897500010673, 0.8352070999972057, 0.5868367000075523, 0.7902367999922717, 0.8168666999990819]","[7.270738199993502, 2.476545800003805, 0.9803837999934331, 3.05569110000215, 1.1630290000030072, 0.9369059000018751, 0.8352152999868849, 0.5868455000018002, 0.7902459000033559, 0.8168748000025516]",,857250,001,2023-02-21_11h07.22.514,SEAL_LandmarkPoint,2022.2.5,59.98764254756231,
PointingImages/Landmark2_painting.jpeg,0,10,10,10,,,,,,35.4504600000073,35.4504600000073,35.4504600000073,11,"[7.2707302999915555, 2.4765384000056656, 0.9803739000053611, 3.055679900004179, 1.1630182999942917, 0.936897500010673, 0.8352070999972057, 0.5868367000075523, 0.7902367999922717, 0.8168666999990819, 0.7440566000004765]","[7.270738199993502, 2.476545800003805, 0.9803837999934331, 3.05569110000215, 1.1630290000030072, 0.9369059000018751, 0.8352152999868849, 0.5868455000018002, 0.7902459000033559, 0.8168748000025516, 0.7440621999994619]",,857250,001,2023-02-21_11h07.22.514,SEAL_LandmarkPoint,2022.2.5,59.98764254756231,
PointingImages/Landmark5_painting.jpeg,0,11,11,11,,,,,,36.61836200000835,36.61836200000835,36.61836200000835,12,"[7.2707302999915555, 2.4765384000056656, 0.9803739000053611, 3.055679900004179, 1.1630182999942917, 0.936897500010673, 0.8352070999972057, 0.5868367000075523, 0.7902367999922717, 0.8168666999990819, 0.7440566000004765, 0.7882034000067506]","[7.270738199993502, 2.476545800003805, 0.9803837999934331, 3.05569110000215, 1.1630290000030072, 0.9369059000018751, 0.8352152999868849, 0.5868455000018002, 0.7902459000033559, 0.8168748000025516, 0.7440621999994619, 0.7882088000042131]",,857250,001,2023-02-21_11h07.22.514,SEAL_LandmarkPoint,2022.2.5,59.98764254756231,
,,,,,,,,,,,,,,,,37.40786960000696,,,,,,,
