image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,image_2.started,text_4.started,button.started,button.numClicks,button.timesOn,button.timesOff,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,8.552308400001493,10.562390000006417,10.562390000006417,space,0.44966400001430884,,,,,,,,,895002,001,2023-02-21_11h10.52.064,SEAL_LandmarkPoint,2022.2.5,60.1533790896956,
PointingImages/Landmark12_statue.jpeg,0,0,0,0,,,,,,11.656636700005038,11.656636700005038,11.656636700005038,1,[5.057442000004812],[5.057450100008282],,,895002,001,2023-02-21_11h10.52.064,SEAL_LandmarkPoint,2022.2.5,60.1533790896956,
PointingImages/Landmark11_painting.jpeg,0,1,1,1,,,,,,17.288367899993318,17.288367899993318,17.288367899993318,2,"[5.057442000004812, 0.6808928000100423]","[5.057450100008282, 0.680900000006659]",,,895002,001,2023-02-21_11h10.52.064,SEAL_LandmarkPoint,2022.2.5,60.1533790896956,
PointingImages/Landmark7_painting.jpeg,0,2,2,2,,,,,,18.170177299994975,18.170177299994975,18.170177299994975,3,"[5.057442000004812, 0.6808928000100423, 0.4047615000017686]","[5.057450100008282, 0.07052569999359548, 0.4047680999938166]",,,895002,001,2023-02-21_11h10.52.064,SEAL_LandmarkPoint,2022.2.5,60.1533790896956,
PointingImages/Landmark8_painting.jpeg,0,3,3,3,,,,,,18.994525799993426,18.994525799993426,18.994525799993426,4,"[5.057442000004812, 0.6808928000100423, 0.4047615000017686, 0.40081050001026597]","[5.057450100008282, 0.07052569999359548, 0.0008227000071201473, 0.4008165000122972]",,,895002,001,2023-02-21_11h10.52.064,SEAL_LandmarkPoint,2022.2.5,60.1533790896956,
PointingImages/Landmark9_painting.jpeg,0,4,4,4,,,,,,19.77216569999291,19.77216569999291,19.77216569999291,5,"[5.057442000004812, 0.6808928000100423, 0.4047615000017686, 0.40081050001026597, 0.10589609999442473]","[5.057450100008282, 0.07052569999359548, 0.0008227000071201473, 0.4008165000122972, 0.1059015999926487]",,,895002,001,2023-02-21_11h10.52.064,SEAL_LandmarkPoint,2022.2.5,60.1533790896956,
PointingImages/Landmark10_statue.jpeg,0,5,5,5,,,,,,20.119567100002314,20.119567100002314,20.119567100002314,6,"[5.057442000004812, 0.6808928000100423, 0.4047615000017686, 0.40081050001026597, 0.10589609999442473, 0.16821990000607911]","[5.057450100008282, 0.07052569999359548, 0.0008227000071201473, 0.4008165000122972, 0.06694129999959841, 0.16822720000345726]",,,895002,001,2023-02-21_11h10.52.064,SEAL_LandmarkPoint,2022.2.5,60.1533790896956,
PointingImages/Landmark3_WaterFountain.jpeg,0,6,6,6,,,,,,20.616171500005294,20.616171500005294,20.616171500005294,7,"[5.057442000004812, 0.6808928000100423, 0.4047615000017686, 0.40081050001026597, 0.10589609999442473, 0.16821990000607911, 0.051125899990438484]","[5.057450100008282, 0.07052569999359548, 0.0008227000071201473, 0.4008165000122972, 0.06694129999959841, 0.16822720000345726, 0.05116380000254139]",,,895002,001,2023-02-21_11h10.52.064,SEAL_LandmarkPoint,2022.2.5,60.1533790896956,
PointingImages/Landmark6_map.jpeg,0,7,7,7,,,,,,21.447225399999297,21.447225399999297,21.447225399999297,8,"[5.057442000004812, 0.6808928000100423, 0.4047615000017686, 0.40081050001026597, 0.10589609999442473, 0.16821990000607911, 0.051125899990438484, 0.3553185999917332]","[5.057450100008282, 0.07052569999359548, 0.0008227000071201473, 0.4008165000122972, 0.06694129999959841, 0.16822720000345726, 0.25589749999926426, 0.35532299999613315]",,,895002,001,2023-02-21_11h10.52.064,SEAL_LandmarkPoint,2022.2.5,60.1533790896956,
PointingImages/Landmark1_book.jpeg,0,8,8,8,,,,,,22.05124590000196,22.05124590000196,22.05124590000196,9,"[5.057442000004812, 0.6808928000100423, 0.4047615000017686, 0.40081050001026597, 0.10589609999442473, 0.16821990000607911, 0.051125899990438484, 0.3553185999917332, 0.05208939999283757]","[5.057450100008282, 0.07052569999359548, 0.0008227000071201473, 0.4008165000122972, 0.06694129999959841, 0.16822720000345726, 0.25589749999926426, 0.000836199993500486, 0.05210869999427814]",,,895002,001,2023-02-21_11h10.52.064,SEAL_LandmarkPoint,2022.2.5,60.1533790896956,
